AWE-Full image path;AWE image path;Subject ID
test/0004.png;001/03.png;1
train/0166.png;001/02.png;1
train/0249.png;001/04.png;1
train/0333.png;001/05.png;1
train/0416.png;001/06.png;1
train/0500.png;001/07.png;1
train/0584.png;001/08.png;1
train/0666.png;001/09.png;1
train/0747.png;001/10.png;1
train/0748.png;001/01.png;1
test/0007.png;002/01.png;2
test/0009.png;002/02.png;2
train/0033.png;002/03.png;2
train/0041.png;002/04.png;2
train/0049.png;002/05.png;2
train/0057.png;002/06.png;2
train/0066.png;002/07.png;2
train/0076.png;002/08.png;2
train/0084.png;002/09.png;2
train/0092.png;002/10.png;2
test/0037.png;003/04.png;3
test/0040.png;003/05.png;3
test/0042.png;003/06.png;3
train/0100.png;003/03.png;3
train/0132.png;003/07.png;3
train/0140.png;003/08.png;3
train/0148.png;003/09.png;3
train/0156.png;003/10.png;3
train/0165.png;003/01.png;3
train/0176.png;003/02.png;3
test/0070.png;004/06.png;4
test/0073.png;004/07.png;4
test/0075.png;004/02.png;4
train/0184.png;004/01.png;4
train/0192.png;004/04.png;4
train/0200.png;004/05.png;4
train/0232.png;004/08.png;4
train/0240.png;004/09.png;4
train/0248.png;004/10.png;4
train/0257.png;004/03.png;4
test/0103.png;005/05.png;5
test/0106.png;005/06.png;5
test/0108.png;005/07.png;5
train/0266.png;005/01.png;5
train/0276.png;005/09.png;5
train/0284.png;005/10.png;5
train/0292.png;005/04.png;5
train/0300.png;005/02.png;5
train/0332.png;005/08.png;5
train/0341.png;005/03.png;5
test/0136.png;006/06.png;6
test/0139.png;006/07.png;6
test/0141.png;006/08.png;6
train/0349.png;006/01.png;6
train/0357.png;006/09.png;6
train/0366.png;006/10.png;6
train/0376.png;006/02.png;6
train/0384.png;006/03.png;6
train/0392.png;006/04.png;6
train/0400.png;006/05.png;6
test/0168.png;007/10.png;7
train/0433.png;007/01.png;7
train/0441.png;007/02.png;7
train/0449.png;007/03.png;7
train/0465.png;007/05.png;7
train/0475.png;007/06.png;7
train/0483.png;007/07.png;7
train/0491.png;007/08.png;7
train/0499.png;007/09.png;7
train/0749.png;007/04.png;7
test/0171.png;008/01.png;8
test/0173.png;008/06.png;8
train/0532.png;008/07.png;8
train/0540.png;008/02.png;8
train/0548.png;008/03.png;8
train/0556.png;008/08.png;8
train/0565.png;008/09.png;8
train/0575.png;008/10.png;8
train/0583.png;008/04.png;8
train/0592.png;008/05.png;8
test/0201.png;009/04.png;9
test/0204.png;009/01.png;9
test/0206.png;009/05.png;9
train/0600.png;009/03.png;9
train/0632.png;009/06.png;9
train/0640.png;009/07.png;9
train/0648.png;009/08.png;9
train/0656.png;009/09.png;9
train/0665.png;009/10.png;9
train/0676.png;009/02.png;9
test/0234.png;010/07.png;10
test/0237.png;010/08.png;10
test/0239.png;010/02.png;10
train/0002.png;010/04.png;10
train/0684.png;010/05.png;10
train/0691.png;010/06.png;10
train/0699.png;010/01.png;10
train/0730.png;010/09.png;10
train/0738.png;010/10.png;10
train/0746.png;010/03.png;10
test/0001.png;011/07.png;11
test/0002.png;011/08.png;11
test/0003.png;011/09.png;11
train/0003.png;011/02.png;11
train/0004.png;011/03.png;11
train/0005.png;011/04.png;11
train/0006.png;011/05.png;11
train/0007.png;011/06.png;11
train/0008.png;011/10.png;11
train/0009.png;011/01.png;11
test/0005.png;012/08.png;12
test/0006.png;012/09.png;12
test/0008.png;012/10.png;12
train/0010.png;012/01.png;12
train/0011.png;012/02.png;12
train/0012.png;012/03.png;12
train/0013.png;012/04.png;12
train/0014.png;012/05.png;12
train/0015.png;012/06.png;12
train/0016.png;012/07.png;12
test/0010.png;013/03.png;13
train/0017.png;013/04.png;13
train/0018.png;013/05.png;13
train/0019.png;013/01.png;13
train/0020.png;013/06.png;13
train/0021.png;013/07.png;13
train/0022.png;013/02.png;13
train/0023.png;013/08.png;13
train/0024.png;013/09.png;13
train/0025.png;013/10.png;13
test/0011.png;014/02.png;14
test/0012.png;014/10.png;14
train/0026.png;014/03.png;14
train/0027.png;014/04.png;14
train/0028.png;014/05.png;14
train/0029.png;014/06.png;14
train/0030.png;014/07.png;14
train/0031.png;014/08.png;14
train/0032.png;014/09.png;14
train/0034.png;014/01.png;14
